id_ccaa;nombre_ccaa;abrev_ccaa;ccaa;anio;ind_fec
6;Cantabria;Cantabria;06 Cantabria;2016;1,15
6;Cantabria;Cantabria;06 Cantabria;2017;1,17
6;Cantabria;Cantabria;06 Cantabria;2018;1,12
6;Cantabria;Cantabria;06 Cantabria;2019;1,07
6;Cantabria;Cantabria;06 Cantabria;2020;1,07
7;Castilla y León;Castilla y León;07 Castilla y León;1975;2,23
7;Castilla y León;Castilla y León;07 Castilla y León;1976;2,28
7;Castilla y León;Castilla y León;07 Castilla y León;1977;2,2
7;Castilla y León;Castilla y León;07 Castilla y León;1978;2,19
7;Castilla y León;Castilla y León;07 Castilla y León;1979;2,09
7;Castilla y León;Castilla y León;07 Castilla y León;1980;2,03
7;Castilla y León;Castilla y León;07 Castilla y León;1981;1,91
7;Castilla y León;Castilla y León;07 Castilla y León;1982;1,83
7;Castilla y León;Castilla y León;07 Castilla y León;1983;1,69
7;Castilla y León;Castilla y León;07 Castilla y León;1984;1,6
7;Castilla y León;Castilla y León;07 Castilla y León;1985;1,51
7;Castilla y León;Castilla y León;07 Castilla y León;1986;1,41
7;Castilla y León;Castilla y León;07 Castilla y León;1987;1,33
7;Castilla y León;Castilla y León;07 Castilla y León;1988;1,26
7;Castilla y León;Castilla y León;07 Castilla y León;1989;1,22
7;Castilla y León;Castilla y León;07 Castilla y León;1990;1,17
7;Castilla y León;Castilla y León;07 Castilla y León;1991;1,13
7;Castilla y León;Castilla y León;07 Castilla y León;1992;1,09
7;Castilla y León;Castilla y León;07 Castilla y León;1993;1,05
7;Castilla y León;Castilla y León;07 Castilla y León;1994;0,99
7;Castilla y León;Castilla y León;07 Castilla y León;1995;0,97
7;Castilla y León;Castilla y León;07 Castilla y León;1996;0,96
7;Castilla y León;Castilla y León;07 Castilla y León;1997;0,98
7;Castilla y León;Castilla y León;07 Castilla y León;1998;0,93
7;Castilla y León;Castilla y León;07 Castilla y León;1999;0,95
7;Castilla y León;Castilla y León;07 Castilla y León;2000;0,99
7;Castilla y León;Castilla y León;07 Castilla y León;2001;0,99
7;Castilla y León;Castilla y León;07 Castilla y León;2002;1,02
7;Castilla y León;Castilla y León;07 Castilla y León;2003;1,06
7;Castilla y León;Castilla y León;07 Castilla y León;2004;1,07
7;Castilla y León;Castilla y León;07 Castilla y León;2005;1,1
7;Castilla y León;Castilla y León;07 Castilla y León;2006;1,13
7;Castilla y León;Castilla y León;07 Castilla y León;2007;1,14
7;Castilla y León;Castilla y León;07 Castilla y León;2008;1,22
7;Castilla y León;Castilla y León;07 Castilla y León;2009;1,18
7;Castilla y León;Castilla y León;07 Castilla y León;2010;1,2
7;Castilla y León;Castilla y León;07 Castilla y León;2011;1,19
7;Castilla y León;Castilla y León;07 Castilla y León;2012;1,17
7;Castilla y León;Castilla y León;07 Castilla y León;2013;1,13
7;Castilla y León;Castilla y León;07 Castilla y León;2014;1,17
7;Castilla y León;Castilla y León;07 Castilla y León;2015;1,18
7;Castilla y León;Castilla y León;07 Castilla y León;2016;1,18
7;Castilla y León;Castilla y León;07 Castilla y León;2017;1,14
7;Castilla y León;Castilla y León;07 Castilla y León;2018;1,15
7;Castilla y León;Castilla y León;07 Castilla y León;2019;1,13
7;Castilla y León;Castilla y León;07 Castilla y León;2020;1,1
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1975;2,54
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1976;2,59
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1977;2,48
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1978;2,52
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1979;2,43
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1980;2,37
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1981;2,31
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1982;2,22
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1983;2,07
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1984;1,98
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1985;1,85
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1986;1,79
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1987;1,73
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1988;1,67
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1989;1,65
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1990;1,61
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1991;1,56
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1992;1,53
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1993;1,45
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1994;1,4
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1995;1,35
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1996;1,29
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1997;1,28
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1998;1,24
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;1999;1,27
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2000;1,27
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2001;1,28
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2002;1,29
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2003;1,33
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2004;1,34
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2005;1,34
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2006;1,4
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2007;1,39
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2008;1,5
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2009;1,44
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2010;1,43
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2011;1,39
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2012;1,35
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2013;1,3
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2014;1,3
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2015;1,33
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2016;1,34
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2017;1,32
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2018;1,27
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2019;1,25
8;Castilla - La Mancha;Castilla - La Mancha;08 Castilla - La Mancha;2020;1,21
9;Cataluña;Cataluña;09 Cataluña;1975;2,86
9;Cataluña;Cataluña;09 Cataluña;1976;2,69
9;Cataluña;Cataluña;09 Cataluña;1977;2,6
9;Cataluña;Cataluña;09 Cataluña;1978;2,41
9;Cataluña;Cataluña;09 Cataluña;1979;2,14
9;Cataluña;Cataluña;09 Cataluña;1980;1,9
9;Cataluña;Cataluña;09 Cataluña;1981;1,61
9;Cataluña;Cataluña;09 Cataluña;1982;1,57
9;Cataluña;Cataluña;09 Cataluña;1983;1,44
9;Cataluña;Cataluña;09 Cataluña;1984;1,46
9;Cataluña;Cataluña;09 Cataluña;1985;1,48
9;Cataluña;Cataluña;09 Cataluña;1986;1,38
9;Cataluña;Cataluña;09 Cataluña;1987;1,32
9;Cataluña;Cataluña;09 Cataluña;1988;1,3
9;Cataluña;Cataluña;09 Cataluña;1989;1,27
9;Cataluña;Cataluña;09 Cataluña;1990;1,25
9;Cataluña;Cataluña;09 Cataluña;1991;1,23
9;Cataluña;Cataluña;09 Cataluña;1992;1,24
9;Cataluña;Cataluña;09 Cataluña;1993;1,19
9;Cataluña;Cataluña;09 Cataluña;1994;1,15
9;Cataluña;Cataluña;09 Cataluña;1995;1,13
9;Cataluña;Cataluña;09 Cataluña;1996;1,13
9;Cataluña;Cataluña;09 Cataluña;1997;1,16
9;Cataluña;Cataluña;09 Cataluña;1998;1,14
9;Cataluña;Cataluña;09 Cataluña;1999;1,19
9;Cataluña;Cataluña;09 Cataluña;2000;1,26
9;Cataluña;Cataluña;09 Cataluña;2001;1,28
9;Cataluña;Cataluña;09 Cataluña;2002;1,31
9;Cataluña;Cataluña;09 Cataluña;2003;1,36
9;Cataluña;Cataluña;09 Cataluña;2004;1,4
9;Cataluña;Cataluña;09 Cataluña;2005;1,41
9;Cataluña;Cataluña;09 Cataluña;2006;1,44
9;Cataluña;Cataluña;09 Cataluña;2007;1,45
